size,nb,ib,threads,GFlops
4096,264,144,4,90.0879
4096,264,152,4,79.9418
4096,264,160,4,89.3242
4096,264,168,4,96.6431
4096,264,176,4,79.8471
4096,264,184,4,89.2545
4096,264,192,4,96.0601
4096,264,200,4,89.6318
4096,264,208,4,86.8565
4096,264,216,4,80.3417
4096,264,224,4,89.415
4096,264,232,4,75.8282
4096,264,240,4,84.0542
4096,264,248,4,85.3945
4096,264,256,4,75.293
4096,272,8,4,84.077
4096,272,16,4,101.207
4096,272,24,4,110.5576
4096,272,32,4,105.9456
4096,272,40,4,116.2365
4096,272,48,4,109.6922
4096,272,56,4,104.8317
4096,272,64,4,83.9115
4096,272,72,4,87.2528
