size,nb,ib,threads,GFlops
8192,344,176,8,90.5181
8192,344,184,8,90.2216
8192,344,192,8,93.3225
8192,344,200,8,92.2665
8192,344,208,8,91.5344
8192,344,216,8,89.33
8192,344,224,8,90.7345
8192,344,232,8,88.8317
8192,344,240,8,86.4691
8192,344,248,8,88.0488
8192,344,256,8,85.3443
8192,344,264,8,83.5971
8192,344,272,8,81.9323
8192,344,280,8,80.899
8192,344,288,8,80.7561
8192,344,296,8,79.0209
8192,344,304,8,78.8331
8192,344,312,8,77.5292
8192,344,320,8,74.5459
8192,344,328,8,74.0012
8192,344,336,8,73.0081
8192,352,8,8,51.174
8192,352,16,8,62.8401
8192,352,24,8,72.0714
8192,352,32,8,80.6392
8192,352,40,8,83.8684
8192,352,48,8,77.5393
8192,352,56,8,75.905
8192,352,64,8,79.5093
8192,352,72,8,80.1051
8192,352,80,8,82.6649
8192,352,88,8,86.0144
8192,352,96,8,84.1526
8192,352,104,8,87.0025
8192,352,112,8,86.5655
8192,352,120,8,88.9532
8192,352,128,8,88.2317
8192,352,136,8,87.1061
8192,352,144,8,86.8443
8192,352,152,8,87.9033
8192,352,160,8,87.8459
8192,352,168,8,84.3583
8192,352,176,8,88.9522
8192,352,184,8,89.7572
8192,352,192,8,93.6957
8192,352,200,8,92.0878
8192,352,208,8,91.4848
8192,352,216,8,90.9653
8192,352,224,8,89.3719
8192,352,232,8,88.4254
8192,352,240,8,88.057
8192,352,248,8,87.3614
8192,352,256,8,84.177
8192,352,264,8,84.7399
8192,352,272,8,83.7196
8192,352,280,8,82.1638
8192,352,288,8,78.0006
8192,352,296,8,79.7195
8192,352,304,8,75.9559
8192,352,312,8,72.912
8192,352,320,8,76.2566
8192,352,328,8,74.807
8192,352,336,8,72.9147
8192,352,344,8,70.4899
8192,360,8,8,47.3668
8192,360,16,8,58.7686
8192,360,24,8,70.0848
8192,360,32,8,74.7827
8192,360,40,8,81.9695
8192,360,48,8,75.6084
8192,360,56,8,74.0648
8192,360,64,8,77.3999
8192,360,72,8,80.6504
8192,360,80,8,82.4242
8192,360,88,8,81.5415
8192,360,96,8,83.8041
8192,360,104,8,86.5426
8192,360,112,8,86.9552
8192,360,120,8,91.5918
8192,360,128,8,86.2627
8192,360,136,8,87.9357
8192,360,144,8,88.6987
8192,360,152,8,85.6953
8192,360,160,8,86.6764
8192,360,168,8,85.6072
8192,360,176,8,85.1095
8192,360,184,8,90.9298
8192,360,192,8,92.4534
8192,360,200,8,92.1127
8192,360,208,8,91.4889
8192,360,216,8,91.2404
8192,360,224,8,91.7945
8192,360,232,8,89.8242
8192,360,240,8,89.2253
8192,360,248,8,88.4112
8192,360,256,8,87.4022
8192,360,264,8,85.0004
8192,360,272,8,84.0673
8192,360,280,8,84.0165
8192,360,288,8,81.0148
8192,360,296,8,81.556
8192,360,304,8,80.569
8192,360,312,8,77.8915
8192,360,320,8,75.4522
8192,360,328,8,75.0463
8192,360,336,8,73.9799
8192,360,344,8,69.8011
8192,360,352,8,70.2641
8192,368,8,8,43.1541
8192,368,16,8,55.9997
8192,368,24,8,65.971
8192,368,32,8,73.4791
8192,368,40,8,77.8993
8192,368,48,8,76.3264
8192,368,56,8,75.9849
8192,368,64,8,78.0803
8192,368,72,8,78.871
8192,368,80,8,81.7504
8192,368,88,8,83.0832
8192,368,96,8,85.9874
